,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
95,3.0,3.0,18.0,20.0,16.0,24.0,20.0,14.0,11.0,13.0,16.0,21.0,24.0,24.0,11.0,3.0,11.0,9.0,17.0,20.0,16.0
96,9.0,4.0,14.0,19.0,10.0,24.0,24.0,14.0,9.0,12.0,20.0,24.0,20.0,24.0,23.0,7.0,6.0,10.0,17.0,11.0,13.0
97,6.0,11.0,13.0,14.0,12.0,24.0,24.0,13.0,10.0,7.0,21.0,24.0,24.0,24.0,15.0,14.0,5.0,4.0,18.0,11.0,20.0
98,6.0,10.0,12.0,19.0,20.0,17.0,20.0,13.0,15.0,15.0,18.0,15.0,23.0,21.0,14.0,11.0,6.0,13.0,15.0,14.0,17.0
99,9.0,3.0,10.0,13.0,21.0,24.0,24.0,15.0,11.0,15.0,23.0,17.0,18.0,24.0,24.0,14.0,6.0,4.0,10.0,18.0,11.0
100,1.0,1.0,22.0,22.0,14.0,22.0,22.0,15.0,6.0,10.0,20.0,24.0,24.0,24.0,13.0,3.0,8.0,3.0,24.0,16.0,20.0
101,5.0,4.0,19.0,17.0,15.0,20.0,24.0,11.0,16.0,11.0,24.0,19.0,18.0,18.0,8.0,11.0,3.0,6.0,20.0,21.0,24.0
102,2.0,11.0,17.0,14.0,16.0,24.0,20.0,14.0,18.0,12.0,19.0,17.0,19.0,20.0,7.0,11.0,6.0,6.0,15.0,24.0,22.0
103,11.0,5.0,13.0,13.0,16.0,24.0,22.0,15.0,13.0,14.0,24.0,19.0,14.0,18.0,14.0,10.0,10.0,13.0,14.0,14.0,18.0
104,9.0,5.0,16.0,16.0,15.0,24.0,19.0,19.0,15.0,18.0,13.0,19.0,15.0,23.0,10.0,10.0,2.0,12.0,18.0,21.0,15.0
105,9.0,7.0,24.0,7.0,9.0,24.0,24.0,18.0,12.0,13.0,8.0,24.0,24.0,24.0,24.0,4.0,4.0,6.0,16.0,20.0,13.0
106,11.0,10.0,13.0,6.0,18.0,24.0,22.0,22.0,14.0,15.0,12.0,19.0,17.0,24.0,21.0,14.0,11.0,2.0,14.0,16.0,9.0
107,17.0,7.0,13.0,13.0,6.0,24.0,24.0,20.0,8.0,24.0,12.0,16.0,19.0,24.0,24.0,18.0,13.0,7.0,6.0,7.0,12.0
108,13.0,12.0,12.0,8.0,16.0,24.0,19.0,19.0,19.0,18.0,16.0,13.0,14.0,22.0,24.0,15.0,14.0,5.0,11.0,16.0,4.0
109,5.0,3.0,17.0,15.0,21.0,22.0,21.0,16.0,6.0,15.0,17.0,21.0,24.0,22.0,5.0,6.0,8.0,3.0,24.0,21.0,22.0
110,7.0,7.0,8.0,24.0,10.0,24.0,24.0,10.0,13.0,11.0,24.0,24.0,17.0,24.0,18.0,8.0,4.0,8.0,24.0,4.0,21.0
111,12.0,0.0,17.0,20.0,13.0,23.0,19.0,16.0,13.0,17.0,17.0,18.0,18.0,24.0,14.0,14.0,15.0,7.0,14.0,9.0,14.0
112,2.0,4.0,24.0,17.0,10.0,24.0,23.0,15.0,10.0,14.0,20.0,22.0,18.0,24.0,6.0,7.0,5.0,5.0,18.0,22.0,24.0
113,9.0,7.0,12.0,15.0,13.0,24.0,24.0,12.0,9.0,15.0,20.0,24.0,19.0,24.0,13.0,8.0,9.0,2.0,19.0,12.0,24.0
114,3.0,4.0,13.0,15.0,22.0,24.0,23.0,13.0,15.0,12.0,18.0,17.0,24.0,24.0,18.0,7.0,6.0,4.0,16.0,20.0,16.0
115,7.0,9.0,16.0,15.0,17.0,19.0,21.0,16.0,8.0,13.0,19.0,24.0,19.0,24.0,12.0,4.0,9.0,5.0,21.0,16.0,20.0
116,3.0,7.0,18.0,19.0,9.0,24.0,24.0,16.0,20.0,14.0,13.0,19.0,17.0,24.0,15.0,4.0,5.0,6.0,20.0,19.0,18.0
117,13.0,9.0,11.0,9.0,14.0,24.0,24.0,16.0,8.0,11.0,21.0,24.0,19.0,24.0,24.0,10.0,12.0,11.0,11.0,9.0,10.0
118,3.0,4.0,18.0,16.0,16.0,23.0,24.0,14.0,14.0,5.0,24.0,20.0,22.0,21.0,7.0,3.0,8.0,5.0,24.0,22.0,21.0
119,7.0,5.0,12.0,22.0,10.0,24.0,24.0,17.0,9.0,19.0,24.0,11.0,19.0,23.0,22.0,7.0,4.0,0.0,16.0,16.0,23.0
120,1.0,9.0,17.0,12.0,18.0,23.0,24.0,20.0,12.0,13.0,16.0,17.0,21.0,24.0,22.0,8.0,12.0,6.0,19.0,10.0,10.0
121,9.0,8.0,12.0,15.0,12.0,24.0,24.0,18.0,4.0,11.0,19.0,23.0,24.0,24.0,22.0,11.0,4.0,6.0,21.0,10.0,13.0
122,15.0,10.0,17.0,11.0,13.0,16.0,22.0,17.0,15.0,9.0,18.0,21.0,19.0,20.0,20.0,15.0,8.0,13.0,13.0,13.0,9.0
123,13.0,14.0,13.0,8.0,9.0,23.0,24.0,22.0,16.0,12.0,17.0,12.0,20.0,24.0,24.0,16.0,7.0,10.0,8.0,12.0,10.0
124,3.0,5.0,18.0,18.0,13.0,23.0,24.0,8.0,16.0,7.0,23.0,21.0,24.0,24.0,11.0,7.0,6.0,4.0,20.0,15.0,24.0
125,9.0,4.0,18.0,17.0,12.0,24.0,20.0,15.0,19.0,15.0,20.0,14.0,16.0,22.0,18.0,8.0,12.0,9.0,9.0,17.0,16.0
126,5.0,5.0,24.0,8.0,14.0,24.0,24.0,13.0,13.0,16.0,15.0,18.0,24.0,24.0,16.0,12.0,8.0,6.0,12.0,21.0,12.0
127,7.0,7.0,16.0,14.0,16.0,20.0,24.0,15.0,16.0,15.0,21.0,14.0,18.0,18.0,21.0,13.0,3.0,8.0,16.0,15.0,17.0
128,12.0,10.0,15.0,8.0,11.0,24.0,24.0,18.0,14.0,12.0,18.0,18.0,19.0,24.0,20.0,6.0,3.0,4.0,16.0,14.0,24.0
129,13.0,6.0,12.0,10.0,15.0,24.0,24.0,11.0,15.0,12.0,20.0,24.0,17.0,24.0,20.0,9.0,3.0,7.0,12.0,20.0,16.0
130,12.0,10.0,13.0,13.0,10.0,22.0,24.0,20.0,14.0,18.0,17.0,14.0,16.0,24.0,13.0,13.0,14.0,4.0,12.0,16.0,15.0
131,10.0,10.0,13.0,16.0,12.0,21.0,22.0,18.0,11.0,12.0,16.0,21.0,21.0,24.0,10.0,7.0,5.0,10.0,21.0,19.0,15.0
132,9.0,8.0,16.0,8.0,15.0,24.0,24.0,13.0,10.0,12.0,21.0,20.0,23.0,24.0,16.0,6.0,5.0,10.0,15.0,17.0,18.0
133,16.0,9.0,11.0,19.0,11.0,19.0,19.0,15.0,17.0,16.0,20.0,15.0,16.0,15.0,13.0,12.0,13.0,7.0,18.0,18.0,15.0
134,4.0,4.0,18.0,19.0,11.0,24.0,24.0,16.0,16.0,12.0,18.0,13.0,24.0,24.0,14.0,4.0,2.0,7.0,24.0,17.0,19.0
135,7.0,8.0,11.0,16.0,16.0,24.0,22.0,14.0,14.0,15.0,18.0,18.0,20.0,24.0,10.0,18.0,4.0,10.0,13.0,15.0,17.0
136,9.0,12.0,6.0,7.0,22.0,24.0,24.0,14.0,13.0,11.0,24.0,24.0,13.0,24.0,22.0,9.0,4.0,2.0,24.0,15.0,11.0
