,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
72,20.0,9.0,13.0,6.0,24.0,20.0,11.0,4.0,5.0,2.0,9.0,22.0,24.0,24.0,19.0,2.0,14.0,4.0,1.0,23.0,23.0,21.0,24.0
73,17.0,4.0,17.0,3.0,24.0,15.0,23.0,16.0,4.0,13.0,13.0,19.0,9.0,24.0,11.0,9.0,2.0,14.0,5.0,15.0,24.0,22.0,21.0
74,21.0,21.0,2.0,1.0,16.0,21.0,21.0,7.0,4.0,19.0,20.0,1.0,14.0,22.0,22.0,9.0,7.0,3.0,10.0,20.0,18.0,23.0,22.0
75,8.0,13.0,13.0,11.0,19.0,20.0,19.0,4.0,12.0,10.0,16.0,16.0,6.0,24.0,21.0,9.0,10.0,24.0,9.0,10.0,17.0,17.0,16.0
76,4.0,23.0,13.0,12.0,18.0,20.0,13.0,6.0,7.0,1.0,12.0,17.0,24.0,18.0,24.0,3.0,15.0,7.0,8.0,17.0,15.0,24.0,23.0
77,12.0,12.0,13.0,13.0,17.0,20.0,16.0,17.0,5.0,10.0,14.0,15.0,19.0,17.0,12.0,13.0,4.0,9.0,16.0,15.0,14.0,24.0,17.0
78,24.0,12.0,6.0,14.0,17.0,6.0,24.0,7.0,8.0,8.0,7.0,24.0,7.0,24.0,24.0,5.0,8.0,4.0,14.0,24.0,11.0,24.0,22.0
79,8.0,13.0,8.0,9.0,17.0,24.0,24.0,9.0,2.0,1.0,18.0,20.0,18.0,20.0,21.0,7.0,2.0,3.0,13.0,18.0,23.0,22.0,24.0
80,7.0,18.0,14.0,8.0,19.0,24.0,13.0,2.0,3.0,4.0,20.0,17.0,17.0,24.0,22.0,11.0,16.0,11.0,9.0,20.0,13.0,17.0,15.0
81,19.0,5.0,9.0,4.0,23.0,24.0,19.0,7.0,15.0,8.0,14.0,11.0,12.0,22.0,20.0,7.0,8.0,16.0,8.0,22.0,19.0,24.0,8.0
82,23.0,21.0,13.0,4.0,19.0,9.0,14.0,5.0,9.0,12.0,13.0,23.0,8.0,24.0,15.0,4.0,6.0,7.0,9.0,19.0,19.0,24.0,24.0
83,20.0,13.0,19.0,16.0,16.0,7.0,12.0,13.0,18.0,15.0,16.0,6.0,16.0,10.0,15.0,12.0,14.0,9.0,10.0,11.0,15.0,20.0,21.0
84,10.0,12.0,17.0,6.0,16.0,18.0,24.0,16.0,8.0,11.0,24.0,6.0,7.0,21.0,16.0,2.0,7.0,13.0,8.0,17.0,23.0,21.0,21.0
85,18.0,18.0,17.0,15.0,11.0,14.0,10.0,11.0,15.0,13.0,9.0,18.0,14.0,13.0,16.0,3.0,15.0,10.0,10.0,12.0,19.0,24.0,19.0
86,15.0,24.0,19.0,7.0,11.0,18.0,9.0,14.0,10.0,6.0,12.0,14.0,14.0,19.0,20.0,7.0,12.0,9.0,8.0,23.0,15.0,21.0,17.0
87,21.0,9.0,8.0,12.0,18.0,15.0,20.0,4.0,17.0,5.0,23.0,7.0,5.0,24.0,24.0,7.0,10.0,3.0,15.0,16.0,14.0,23.0,24.0
88,20.0,16.0,13.0,2.0,16.0,14.0,22.0,12.0,10.0,10.0,11.0,16.0,7.0,24.0,19.0,6.0,10.0,11.0,11.0,11.0,15.0,24.0,24.0
89,16.0,10.0,18.0,6.0,24.0,12.0,17.0,5.0,2.0,8.0,4.0,24.0,24.0,22.0,20.0,9.0,7.0,13.0,5.0,23.0,13.0,18.0,24.0
90,13.0,9.0,8.0,17.0,10.0,24.0,22.0,6.0,1.0,15.0,14.0,21.0,10.0,21.0,21.0,2.0,10.0,12.0,14.0,23.0,21.0,23.0,7.0
91,22.0,12.0,5.0,19.0,18.0,9.0,18.0,12.0,6.0,5.0,23.0,18.0,3.0,24.0,18.0,7.0,11.0,8.0,13.0,19.0,15.0,21.0,18.0
92,7.0,10.0,16.0,10.0,24.0,24.0,12.0,4.0,9.0,6.0,17.0,15.0,10.0,24.0,24.0,5.0,18.0,4.0,12.0,24.0,17.0,22.0,10.0
93,14.0,17.0,20.0,11.0,8.0,14.0,19.0,6.0,6.0,11.0,15.0,5.0,21.0,21.0,24.0,9.0,9.0,12.0,1.0,22.0,21.0,22.0,16.0
94,24.0,7.0,16.0,2.0,17.0,16.0,21.0,6.0,7.0,3.0,16.0,11.0,18.0,24.0,24.0,9.0,9.0,7.0,4.0,11.0,24.0,24.0,24.0
95,14.0,9.0,13.0,7.0,12.0,24.0,24.0,4.0,7.0,5.0,21.0,10.0,24.0,20.0,18.0,7.0,14.0,7.0,13.0,22.0,15.0,24.0,10.0
96,24.0,8.0,10.0,10.0,16.0,11.0,24.0,18.0,3.0,3.0,7.0,18.0,19.0,17.0,24.0,8.0,3.0,5.0,6.0,21.0,24.0,23.0,22.0
