,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
53,12.0,8.0,13.0,9.0,19.0,21.0,21.0,1.0,0.0,0.0,20.0,20.0,21.0,24.0,23.0,2.0,14.0,15.0,11.0,19.0,20.0,19.0,12.0
54,20.0,14.0,14.0,14.0,13.0,14.0,14.0,16.0,15.0,12.0,12.0,11.0,12.0,16.0,15.0,9.0,12.0,11.0,13.0,14.0,17.0,18.0,18.0
55,12.0,9.0,14.0,13.0,19.0,18.0,18.0,9.0,4.0,3.0,19.0,18.0,16.0,20.0,20.0,3.0,11.0,5.0,13.0,22.0,20.0,20.0,18.0
56,12.0,13.0,10.0,6.0,21.0,22.0,19.0,1.0,6.0,1.0,19.0,16.0,20.0,23.0,23.0,1.0,5.0,8.0,8.0,23.0,23.0,23.0,21.0
57,10.0,4.0,13.0,11.0,22.0,22.0,21.0,0.0,1.0,1.0,22.0,20.0,19.0,23.0,23.0,1.0,14.0,5.0,10.0,23.0,23.0,22.0,14.0
58,15.0,9.0,14.0,12.0,17.0,18.0,18.0,5.0,2.0,6.0,20.0,17.0,16.0,22.0,21.0,7.0,5.0,9.0,12.0,19.0,20.0,21.0,19.0
59,13.0,7.0,10.0,6.0,22.0,23.0,22.0,2.0,2.0,4.0,20.0,18.0,17.0,23.0,23.0,1.0,4.0,8.0,10.0,22.0,23.0,23.0,21.0
60,24.0,16.0,13.0,12.0,13.0,12.0,13.0,17.0,17.0,11.0,11.0,10.0,11.0,16.0,16.0,6.0,12.0,9.0,11.0,13.0,16.0,23.0,22.0
61,19.0,17.0,18.0,15.0,10.0,10.0,14.0,15.0,13.0,9.0,13.0,14.0,12.0,16.0,17.0,7.0,10.0,11.0,9.0,15.0,16.0,21.0,23.0
62,11.0,11.0,10.0,7.0,22.0,22.0,20.0,0.0,5.0,0.0,19.0,18.0,20.0,24.0,23.0,2.0,6.0,8.0,9.0,22.0,22.0,23.0,20.0
63,11.0,8.0,12.0,7.0,22.0,21.0,22.0,2.0,1.0,2.0,20.0,18.0,21.0,23.0,22.0,1.0,13.0,9.0,13.0,20.0,21.0,21.0,14.0
64,23.0,13.0,12.0,12.0,15.0,13.0,15.0,12.0,16.0,10.0,16.0,11.0,13.0,15.0,16.0,6.0,3.0,7.0,11.0,18.0,20.0,23.0,24.0
65,10.0,8.0,12.0,6.0,22.0,22.0,23.0,2.0,0.0,1.0,21.0,19.0,18.0,24.0,24.0,1.0,9.0,6.0,14.0,21.0,21.0,23.0,17.0
66,11.0,9.0,11.0,6.0,21.0,22.0,23.0,3.0,2.0,3.0,21.0,17.0,20.0,21.0,22.0,2.0,7.0,7.0,10.0,21.0,23.0,23.0,19.0
67,12.0,9.0,13.0,3.0,21.0,22.0,23.0,5.0,0.0,2.0,21.0,16.0,21.0,22.0,22.0,0.0,7.0,8.0,12.0,22.0,22.0,22.0,19.0
