,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
52,2.0,1.0,16.0,20.0,16.0,21.0,20.0,13.0,12.0,17.0,18.0,20.0,21.0,13.0,9.0,6.0,6.0,21.0,20.0,21.0,18.0,20.0,20.0,16.0,15.0,10.0,3.0,22.0,22.0,20.0,16.0,21.0,2.0,3.0,3.0
53,9.0,8.0,14.0,14.0,16.0,18.0,17.0,15.0,15.0,16.0,19.0,17.0,19.0,15.0,12.0,10.0,12.0,16.0,16.0,15.0,17.0,19.0,19.0,17.0,14.0,11.0,5.0,18.0,18.0,18.0,17.0,20.0,3.0,7.0,8.0
54,2.0,1.0,15.0,17.0,16.0,22.0,23.0,11.0,12.0,16.0,20.0,19.0,23.0,8.0,9.0,8.0,6.0,20.0,22.0,23.0,21.0,22.0,22.0,14.0,12.0,9.0,2.0,21.0,24.0,20.0,17.0,23.0,2.0,1.0,1.0
55,3.0,3.0,18.0,19.0,10.0,22.0,21.0,9.0,10.0,16.0,20.0,23.0,23.0,12.0,11.0,3.0,3.0,22.0,23.0,22.0,22.0,21.0,23.0,14.0,10.0,10.0,2.0,23.0,21.0,19.0,20.0,24.0,0.0,1.0,1.0
56,1.0,3.0,17.0,20.0,15.0,20.0,20.0,15.0,14.0,15.0,19.0,18.0,20.0,14.0,9.0,6.0,4.0,21.0,20.0,22.0,19.0,20.0,19.0,16.0,16.0,11.0,1.0,21.0,22.0,22.0,15.0,21.0,3.0,2.0,3.0
57,3.0,4.0,14.0,19.0,11.0,23.0,22.0,11.0,9.0,17.0,16.0,24.0,24.0,13.0,10.0,5.0,5.0,20.0,21.0,22.0,23.0,22.0,21.0,13.0,11.0,9.0,3.0,22.0,23.0,19.0,16.0,21.0,2.0,2.0,4.0
58,0.0,3.0,19.0,18.0,10.0,22.0,24.0,8.0,13.0,16.0,20.0,22.0,22.0,11.0,13.0,3.0,4.0,22.0,21.0,22.0,23.0,19.0,20.0,15.0,12.0,11.0,2.0,23.0,24.0,17.0,18.0,22.0,0.0,1.0,4.0
59,1.0,1.0,16.0,18.0,16.0,21.0,23.0,12.0,12.0,15.0,18.0,20.0,24.0,10.0,9.0,8.0,7.0,20.0,21.0,21.0,22.0,20.0,22.0,15.0,13.0,9.0,1.0,23.0,22.0,21.0,19.0,20.0,2.0,0.0,2.0
60,14.0,13.0,14.0,13.0,14.0,14.0,14.0,16.0,16.0,17.0,17.0,17.0,18.0,15.0,14.0,13.0,15.0,13.0,13.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,14.0,14.0,15.0,14.0,14.0,15.0,11.0,13.0,13.0
61,13.0,15.0,13.0,13.0,14.0,15.0,13.0,17.0,16.0,16.0,17.0,17.0,18.0,14.0,15.0,15.0,15.0,12.0,14.0,11.0,17.0,15.0,15.0,16.0,14.0,14.0,11.0,13.0,15.0,14.0,15.0,14.0,12.0,14.0,12.0
