,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
35,15.0,20.0,10.0,9.0,13.0,24.0,19.0,11.0,17.0,14.0,6.0,18.0,20.0,24.0,24.0,24.0,20.0,10.0,9.0,7.0,10.0,4.0,11.0,24.0,18.0,17.0,18.0,10.0,23.0,12.0,9.0,13.0,10.0,18.0,19.0
36,10.0,18.0,13.0,12.0,13.0,20.0,24.0,12.0,17.0,13.0,12.0,16.0,20.0,20.0,24.0,22.0,21.0,14.0,3.0,8.0,12.0,1.0,11.0,12.0,20.0,22.0,16.0,20.0,15.0,17.0,15.0,16.0,9.0,16.0,16.0
37,22.0,13.0,13.0,11.0,16.0,19.0,16.0,12.0,17.0,14.0,13.0,15.0,16.0,23.0,23.0,21.0,19.0,17.0,14.0,7.0,3.0,7.0,15.0,10.0,24.0,17.0,12.0,17.0,22.0,17.0,7.0,12.0,18.0,14.0,14.0
38,11.0,12.0,9.0,23.0,15.0,21.0,19.0,18.0,3.0,15.0,24.0,8.0,21.0,21.0,24.0,24.0,19.0,10.0,5.0,11.0,11.0,2.0,17.0,14.0,22.0,14.0,17.0,16.0,19.0,19.0,17.0,15.0,1.0,22.0,11.0
39,24.0,16.0,10.0,11.0,15.0,19.0,15.0,10.0,19.0,19.0,20.0,12.0,19.0,11.0,24.0,24.0,13.0,12.0,11.0,13.0,7.0,14.0,15.0,18.0,17.0,16.0,13.0,9.0,20.0,21.0,7.0,11.0,11.0,14.0,20.0
40,24.0,8.0,8.0,13.0,16.0,19.0,22.0,10.0,22.0,17.0,19.0,7.0,17.0,18.0,24.0,21.0,24.0,14.0,7.0,9.0,5.0,12.0,4.0,14.0,17.0,19.0,18.0,18.0,17.0,24.0,7.0,8.0,20.0,12.0,16.0
41,17.0,15.0,10.0,14.0,7.0,23.0,24.0,20.0,7.0,13.0,16.0,14.0,23.0,17.0,23.0,23.0,24.0,18.0,8.0,3.0,5.0,5.0,7.0,9.0,24.0,18.0,23.0,16.0,23.0,19.0,5.0,15.0,7.0,20.0,15.0
42,17.0,16.0,10.0,17.0,14.0,15.0,21.0,15.0,19.0,14.0,18.0,11.0,19.0,14.0,24.0,24.0,6.0,21.0,3.0,18.0,8.0,2.0,14.0,17.0,17.0,17.0,18.0,17.0,24.0,12.0,9.0,9.0,11.0,21.0,18.0
43,15.0,12.0,5.0,15.0,21.0,21.0,21.0,1.0,15.0,18.0,15.0,15.0,23.0,23.0,24.0,24.0,17.0,10.0,16.0,4.0,9.0,3.0,14.0,16.0,21.0,15.0,19.0,14.0,17.0,18.0,7.0,17.0,14.0,9.0,22.0
44,15.0,11.0,18.0,10.0,19.0,13.0,24.0,16.0,16.0,12.0,9.0,19.0,18.0,20.0,24.0,24.0,15.0,9.0,10.0,10.0,12.0,8.0,6.0,15.0,18.0,24.0,23.0,8.0,20.0,21.0,9.0,3.0,13.0,14.0,24.0
45,24.0,6.0,9.0,12.0,15.0,20.0,24.0,18.0,14.0,23.0,20.0,8.0,13.0,14.0,24.0,24.0,19.0,24.0,2.0,3.0,8.0,7.0,4.0,9.0,22.0,20.0,24.0,16.0,24.0,17.0,8.0,11.0,12.0,12.0,20.0
46,20.0,13.0,11.0,14.0,13.0,15.0,24.0,12.0,20.0,15.0,9.0,18.0,18.0,18.0,24.0,24.0,24.0,19.0,5.0,3.0,5.0,2.0,14.0,9.0,18.0,23.0,24.0,12.0,24.0,15.0,7.0,12.0,10.0,14.0,22.0
47,17.0,12.0,11.0,11.0,11.0,24.0,24.0,15.0,24.0,10.0,22.0,6.0,9.0,24.0,24.0,24.0,21.0,23.0,4.0,5.0,3.0,1.0,1.0,24.0,8.0,23.0,21.0,24.0,20.0,24.0,5.0,5.0,13.0,13.0,24.0
48,24.0,12.0,14.0,6.0,10.0,22.0,22.0,7.0,24.0,18.0,23.0,13.0,14.0,11.0,24.0,18.0,18.0,22.0,8.0,2.0,12.0,9.0,2.0,15.0,19.0,19.0,21.0,17.0,24.0,20.0,12.0,9.0,9.0,10.0,20.0
