,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
38,16.0,22.0,19.0,4.0,15.0,16.0,11.0,7.0,9.0,11.0,16.0,15.0,15.0,18.0,18.0,7.0,10.0,9.0,11.0,17.0,16.0,24.0,18.0
39,24.0,9.0,20.0,12.0,5.0,17.0,16.0,17.0,6.0,9.0,22.0,9.0,5.0,17.0,24.0,5.0,12.0,10.0,8.0,18.0,11.0,24.0,24.0
40,14.0,17.0,12.0,5.0,17.0,16.0,22.0,7.0,9.0,6.0,21.0,11.0,11.0,24.0,20.0,7.0,5.0,9.0,5.0,16.0,24.0,24.0,22.0
41,13.0,12.0,11.0,17.0,17.0,16.0,17.0,18.0,10.0,16.0,7.0,13.0,15.0,12.0,18.0,5.0,11.0,17.0,17.0,17.0,13.0,15.0,17.0
42,12.0,12.0,15.0,9.0,21.0,15.0,19.0,12.0,14.0,11.0,9.0,12.0,14.0,19.0,18.0,2.0,6.0,11.0,10.0,20.0,18.0,21.0,24.0
43,24.0,16.0,19.0,10.0,8.0,16.0,10.0,8.0,7.0,19.0,16.0,10.0,10.0,17.0,22.0,3.0,7.0,12.0,12.0,20.0,13.0,22.0,23.0
44,16.0,13.0,9.0,9.0,20.0,19.0,17.0,5.0,5.0,13.0,19.0,13.0,10.0,20.0,24.0,1.0,15.0,16.0,12.0,18.0,15.0,16.0,19.0
45,17.0,15.0,10.0,13.0,21.0,8.0,19.0,7.0,6.0,7.0,12.0,19.0,13.0,21.0,24.0,6.0,4.0,8.0,6.0,23.0,19.0,22.0,24.0
46,15.0,10.0,10.0,12.0,20.0,24.0,12.0,9.0,6.0,5.0,14.0,19.0,16.0,20.0,20.0,3.0,2.0,10.0,12.0,22.0,20.0,24.0,19.0
47,21.0,8.0,13.0,6.0,13.0,18.0,24.0,14.0,9.0,4.0,24.0,10.0,4.0,24.0,20.0,4.0,3.0,14.0,5.0,16.0,22.0,24.0,24.0
48,24.0,16.0,14.0,10.0,13.0,11.0,15.0,10.0,13.0,3.0,17.0,18.0,14.0,17.0,17.0,13.0,12.0,7.0,7.0,15.0,13.0,24.0,21.0
49,15.0,13.0,12.0,18.0,14.0,17.0,14.0,6.0,6.0,2.0,18.0,10.0,20.0,24.0,23.0,7.0,6.0,11.0,5.0,21.0,14.0,24.0,24.0
50,22.0,14.0,15.0,10.0,8.0,14.0,20.0,12.0,6.0,5.0,22.0,22.0,9.0,19.0,14.0,7.0,6.0,4.0,7.0,18.0,22.0,24.0,24.0
51,17.0,14.0,18.0,5.0,13.0,18.0,18.0,10.0,6.0,11.0,18.0,8.0,15.0,17.0,24.0,6.0,13.0,8.0,9.0,17.0,15.0,24.0,20.0
52,16.0,10.0,13.0,11.0,17.0,19.0,17.0,10.0,9.0,5.0,12.0,21.0,13.0,15.0,24.0,5.0,6.0,5.0,15.0,20.0,14.0,23.0,24.0
53,11.0,13.0,15.0,8.0,22.0,17.0,17.0,8.0,7.0,9.0,19.0,8.0,17.0,18.0,23.0,4.0,9.0,11.0,7.0,19.0,16.0,24.0,22.0
